"Supplemental Table 5. ASCA temperature effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC592013.1.1.m.20072,0.007336527,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592142.5.9.m.53066,0.015910474,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592142.6.9.m.54976,-0.002787405,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592142.7.9.m.55467,0.001287064,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592215.1.1.m.34856,0.00433886,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592357.1.1.m.27228,0.004468601,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592528.1.2.m.17290,0.001170583,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592585.1.1.m.51309,0.002412346,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592624.1.1.m.45639,-0.011097093,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592709.1.1.m.22553,0.014630453,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592745.1.1.m.47718,-0.002677292,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592825.1.1.m.43751,-0.005887723,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592888.1.1.m.63240,0.005150519,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC592990.1.1.m.17663,-0.005138482,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593134.1.1.m.29711,-0.023811362,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593247.1.1.m.56872,-0.005295209,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593338.1.2.m.31413,-0.006867224,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593467.2.4.m.66724,0.004572093,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593522.1.2.m.5381,-0.003141545,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593522.2.2.m.33858,0.000217626,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593529.1.1.m.59343,-0.024704574,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593558.3.4.m.36843,0.00760119,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC593741.1.1.m.11514,-0.005971647,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594038.1.1.m.8864,0.001128068,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594130.1.1.m.48747,0.003315959,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594151.1.2.m.7270,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594176.1.1.m.9662,-0.011825979,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594315.1.1.m.28047,0.00044467,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594379.1.1.m.55370,-0.011170574,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594407.1.1.m.38463,0.002677916,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594533.1.1.m.58830,0.006478955,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594590.1.2.m.10772,-0.007402033,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594665.1.1.m.8448,0.004308736,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594665.1.1.m.8449,0.001387777,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC594676.1.1.m.8936,-0.022144772,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC654860.3.3.m.63750,0.001817505,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC654949.1.1.m.9313,-0.001501556,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC654994.1.1.m.39461,-0.001509613,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC655520.2.2.m.14178,-0.002971997,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC655529.1.3.m.1225,-0.004218169,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC655570.1.2.m.9210,-0.007370068,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656201.1.1.m.8657,3.77E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656402.1.1.m.62053,0.002897226,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656459.1.1.m.34956,-0.007452643,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656615.1.1.m.66274,-0.003135687,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656702.1.1.m.14425,0.002567905,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656741.1.1.m.19820,0.014039824,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656867.1.1.m.28658,-0.001056893,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC656899.1.1.m.15417,-0.001310498,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657235.1.1.m.1711,0.012274339,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657327.1.1.m.54811,-0.001585524,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657378.1.1.m.14648,0.003175879,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657466.1.1.m.38710,0.002320242,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657473.1.1.m.55374,-0.000585966,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657674.1.1.m.21821,-0.002870435,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657694.1.1.m.34526,0.013386657,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC657811.1.1.m.29214,-0.009431911,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658003.1.1.m.29101,-0.008482159,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658092.1.2.m.22901,-0.000265627,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658092.2.2.m.60940,-0.004348577,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658201.1.1.m.42880,0.001760698,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658242.1.1.m.41709,0.002178163,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658248.1.1.m.11054,-0.01730993,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658280.1.1.m.18469,0.001188782,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658414.1.3.m.6219,0.004166789,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658593.1.1.m.25202,0.001669873,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658611.1.1.m.11239,-0.000658304,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658640.1.2.m.36016,0.022366128,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658640.2.2.m.56941,-0.014086337,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC658895.1.1.m.20262,0.001618596,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659024.1.2.m.31136,-0.000105277,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659206.1.6.m.3536,0.001656609,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659206.6.6.m.43541,0.014243959,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659226.1.3.m.16864,-0.001429591,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659306.1.1.m.11580,0.007044223,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659398.1.1.m.9611,-0.005247367,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659409.1.1.m.24437,-0.024022331,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659512.1.4.m.6122,0.00273056,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659512.3.4.m.26463,0.00503347,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659512.4.4.m.31246,-0.00392653,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659617.1.1.m.23473,-0.006326587,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659702.1.1.m.7231,0.013305636,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659901.1.1.m.348,0.000136885,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC659964.1.1.m.25995,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660067.1.1.m.20126,-0.004239362,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660183.1.1.m.8143,-0.000526805,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660225.1.1.m.35196,0.007636861,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660225.1.1.m.35197,-0.010352728,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660338.1.1.m.33595,-0.002367277,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660381.1.1.m.6379,0.003994248,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660501.1.2.m.5218,-0.020093215,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660501.2.2.m.19155,-0.001876692,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660560.1.4.m.31035,0.00833303,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660560.1.4.m.31036,-0.000415185,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660560.4.4.m.54542,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660590.1.1.m.26950,-0.011109676,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660684.1.1.m.28592,-0.009111693,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC660898.1.1.m.38632,-0.002923435,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC661043.1.1.m.11553,-0.00321222,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC661226.1.1.m.62936,0.002900742,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC661306.1.3.m.11419,-0.003590375,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC661626.1.1.m.53878,-0.008824434,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC661769.1.1.m.10866,-0.018676806,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC661829.1.1.m.64858,-0.00089003,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC661955.1.1.m.37858,-0.005377571,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662072.1.1.m.51458,0.013024018,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662115.2.2.m.15477,0.000693066,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662190.1.3.m.1532,-0.001544185,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662190.3.3.m.62554,-0.004214984,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662211.1.1.m.23378,0.007351482,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662241.1.1.m.66905,0.022179628,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662320.1.2.m.18374,-0.015563753,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662357.1.1.m.64851,-0.010751483,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662408.1.1.m.44393,-0.005987988,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662543.1.1.m.39811,-0.002169244,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC662585.2.2.m.7262,-0.009203265,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663138.1.1.m.7661,-0.013549481,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663155.1.1.m.62768,-0.009610432,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663249.1.1.m.25441,-0.017809247,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663261.1.1.m.21784,-0.006159459,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663375.1.1.m.11969,-0.000123723,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663422.1.1.m.57246,-0.005024902,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663424.1.2.m.49957,-0.004065356,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663518.1.1.m.11968,0.00185721,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663776.1.1.m.66113,0.004384038,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663838.2.2.m.43318,-0.002088608,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663855.2.5.m.747,0.004948113,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC663855.5.5.m.51311,-0.000364344,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC664087.1.1.m.19351,-0.006906512,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC664138.1.1.m.26660,-0.014076809,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC664527.1.1.m.16232,0.004236277,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC684934.1.1.m.1807,-0.015885493,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC689840.1.1.m.6512,-0.007644797,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC720058.1.1.m.11127,-0.000844612,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC724172.1.1.m.24081,0.015841173,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC724467.1.1.m.38548,0.007884032,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC725565.1.1.m.19064,0.003026759,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC725703.1.1.m.31182,-0.023160328,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC726145.1.1.m.27163,-0.000638068,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC732900.1.1.m.62814,-0.002626834,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC732961.1.1.m.29082,0.000797987,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC751836.2.6.m.25437,0.001511555,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC751836.5.6.m.43257,-0.019069064,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC752244.2.2.m.45622,0.008548975,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC752782.1.1.m.53938,0.001382459,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC752884.1.1.m.4412,3.03E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC753176.3.3.m.54259,0.007522883,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC753178.2.2.m.60569,-0.011646411,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC753709.10.44.m.22246,0.006541874,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC753939.1.1.m.44379,-0.002395249,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754102.1.1.m.57575,-0.002969302,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754102.1.1.m.57578,0.011632775,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754150.1.1.m.29730,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754355.1.1.m.66745,-0.003971023,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754396.1.1.m.39126,-0.001588602,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754557.1.2.m.5492,0.001947016,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754557.2.2.m.22904,-0.005156657,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754728.5.6.m.42237,-0.003602961,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC754820.1.1.m.57329,2.68E-06,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC755229.1.1.m.5006,-0.017986484,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC755290.2.4.m.31794,-0.015005786,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC755521.5.28.m.32618,0.002122153,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC755594.2.6.m.51265,0.000299355,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC755594.4.6.m.53187,-0.000116425,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC755594.5.6.m.54446,-0.00653731,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC756222.1.2.m.62,0.006638965,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC756760.1.1.m.1259,-0.000464036,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC756946.1.1.m.49284,0.007431236,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC756958.1.2.m.17672,-0.00363707,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC757096.1.1.m.9762,-0.006352428,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC762368.1.1.m.8991,0.010336796,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC762575.1.1.m.54012,-0.013787757,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC762871.1.1.m.37896,0.003051859,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC762961.3.5.m.46330,0.007937706,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763087.1.1.m.9110,-0.014874612,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763287.1.1.m.43472,0.011871989,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763308.3.3.m.63145,0.00085342,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763340.1.1.m.60271,-0.009448461,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763378.1.1.m.7889,0.00476432,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763463.1.1.m.1366,-0.001617571,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763793.3.7.m.24306,0.008361948,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763845.1.1.m.35345,-0.00351488,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC763960.1.2.m.17062,0.003632038,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC764565.1.1.m.3966,0.002305431,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC764722.1.3.m.16471,0.008618545,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC764722.3.3.m.43616,0.01975631,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC764806.1.2.m.17636,0.000747297,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC764850.1.8.m.5396,0.002776708,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC764949.1.1.m.44351,-0.000356787,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC769726.1.1.m.26365,-0.006967708,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC778718.1.1.m.29230,-0.002877327,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC794295.1.1.m.42748,0.010239378,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC797197.1.1.m.49426,-0.003462533,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LONM.1.1.m.7031,-0.000852987,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LR16A.1.3.m.9037,0.023433545,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LR16A.3.3.m.59538,0.003685108,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LR16A.3.3.m.59539,-0.008691278,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRC40.1.2.m.20043,0.000361508,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRCH2.2.2.m.56149,-0.005037423,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRIG1.1.3.m.954,0.001199738,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRP1.5.5.m.54869,-0.000178128,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRP12.1.2.m.30870,0.0122786,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRP1B.1.2.m.7346,-0.010151345,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRP2.6.7.m.41365,0.005046191,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRP4.5.5.m.48010,0.006063542,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRP5.1.3.m.18025,0.005632174,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRP6.1.6.m.878,-0.006451972,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRRF2.2.2.m.40846,0.012322834,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LRRX1.6.11.m.41895,0.013629489,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LS14A.2.3.m.10984,0.002323244,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSAMP.1.1.m.36104,1.93E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSDA.1.1.m.28040,-0.01632039,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSG1.1.1.m.14762,0.000349321,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSM12.1.1.m.24998,-0.001376627,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSM2.1.2.m.54283,8.84E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSM3.1.1.m.9505,-0.015013623,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSM4.1.3.m.2601,0.002458826,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LSM7.1.1.m.3617,0.002654734,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LTN1.1.2.m.7693,0.002444517,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LTOR2.2.2.m.61709,0.00107871,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LTV1.1.1.m.19482,0.000335693,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LYAM3.2.4.m.3333,-0.013465308,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LYPA2.1.1.m.45740,-0.000869522,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LYRM4.2.3.m.7011,0.025816297,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LYS3.1.1.m.31221,0.004263227,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_M1I1L.1.1.m.4329,-0.012097219,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_M2OM.1.1.m.11786,0.00913609,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_M3K1.1.1.m.7202,-0.009040334,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_M3K7.1.4.m.7880,-0.010422495,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_M3K7.2.4.m.17369,-0.001409681,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_M6PR.1.1.m.51635,0.011109664,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MA1B1.1.1.m.22675,-0.010517379,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MA2A1.1.1.m.19620,-0.007885779,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
