protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_PHUM_PHUM477570.1.1.m.2101,0.0163589282803498,0.016797544049751,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM477850.1.1.m.19067,-0.0154324747982144,-0.0109151984811417,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM479110.1.1.m.54103,-0.0169591047060434,0.00960206869202777,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM494500.1.1.m.9430,0.0143528824425531,-0.0105864411621251,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM498110.1.1.m.60692,0.00435962511623354,0.0232719295348799,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM498130.1.1.m.12138,-0.0101118706993417,0.00893756917237793,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM500930.1.1.m.21562,0.0027052414377279,-0.0167082214645441,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM516040.1.1.m.55603,-0.00873768123421484,0.000208299834105843,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM519460.1.1.m.3701,-0.00944542900966777,-0.0125953881669898,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM536560.1.2.m.12360,-0.00589507857478476,-0.00993338029136734,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM537100.1.1.m.62217,-0.0111496796402411,-0.00453271080819465,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM538050.1.1.m.56205,-0.0104606980845336,-0.0173232313003104,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM538580.1.1.m.43268,0.00943282819225342,0.00578308060180956,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM544530.1.1.m.38469,0.0070572052553872,-0.0136990096954112,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM547410.1.1.m.10964,-0.0226660689567306,0.0102947884874559,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM549040.1.1.m.10284,0.00707317419444195,0.0107828742724802,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM559420.1.1.m.8620,0.00990704979313023,-0.0059170608748918,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM562900.1.1.m.43674,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM563970.1.1.m.13515,0.00994564406612837,-0.0170822135967308,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM574190.1.1.m.24768,-0.00673502551935289,0.0127409436953833,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM574550.1.1.m.59401,-0.00352032410135598,-0.00547872151649465,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM579670.1.1.m.63016,-0.00342682323399259,0.00207451479523143,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM596890.1.1.m.10989,0.0095605565733543,-0.0201939879151388,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM596940.1.1.m.2151,-0.0158566360711242,0.0162351192265302,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM600390.1.1.m.6641,-0.0131862375872504,-0.00944253560704303,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM602670.1.1.m.52487,-0.0126316175454643,0.00129115911615652,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHUM_PHUM616130.1.1.m.47653,-0.000498954159381185,0.00945385018044534,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PHYD1.1.2.m.17822,-0.0126001847676143,0.013693137968167,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PI4KB.1.1.m.8669,-0.00154391786399968,-0.0143313742773505,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PIDD.1.1.m.54294,-0.0226119521573992,0.0100824950080966,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PIF.3.6.m.18904,0.0228430320266587,-0.0096406536992365,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PIF.6.6.m.44699,0.00981830218286734,-0.00482193432036399,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PIGS.1.1.m.18959,-0.0127749407205375,0.0131505170477558,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PININ.1.1.m.56667,-0.010932036642357,-0.00489476656895209,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PIPNA.1.1.m.37750,0.00173031335079838,-0.0183019826268342,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PIR.1.1.m.48663,-0.000700087821323987,0.00039302714115548,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PISD.2.2.m.30086,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PITG_07096.1.1.m.4922,0.00775559301377225,-0.0112412385083857,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PK1IP.1.1.m.49466,0.0114905500242038,0.00685439523709646,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PK3C3.1.1.m.13959,-0.00923068586130371,-0.00541237973717977,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PKH_082300.1.1.m.29388,-0.00212078832001384,-0.00891837260408135,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PKH_143120.1.1.m.6777,-0.0183939326445748,-0.00601916514014356,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PKHL1.3.3.m.42452,-0.0215292850960933,0.00997911221059143,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLB1.1.1.m.16558,0.00023760657298602,0.00222254481238432,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLC.2.5.m.5277,-0.0111726071082333,0.00822038609406715,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLC.3.5.m.7658,0.00438664301111042,-0.0123775521277282,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLCB4.1.2.m.1637,-0.0213031832187198,-0.0010390702030213,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLCD1.1.1.m.63908,0.00628827370973882,0.00709069031430847,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLCL2.1.1.m.62311,-0.00110953888536454,0.0124098559374383,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLEKHA1.2.2.m.21816,0.000830649326111308,0.0106513816792729,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLIN2.1.1.m.23758,0.0122304414344707,-0.0236516661188888,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLK1.1.2.m.26371,0.0109850292121824,-0.00712913091167356,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLMN.1.11.m.5524,-0.00896833487304466,-0.0255718286678561,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLMN.4.11.m.29150,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLOD3.1.1.m.41788,0.0199086036872756,-0.00278669086037437,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLRG1.1.1.m.65600,-0.00426262044357038,-0.0186032302327752,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLSP.4.5.m.44386,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLXA3.1.1.m.51322,-0.00147176928581371,-0.0106507164351708,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PLXB2.2.2.m.47843,-0.015068419940252,-0.0106802035073596,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PM20D2.1.1.m.27186,0.0198877976068075,-0.0062533579588573,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PMAA_001770.1.1.m.11519,0.0113899717904055,0.00135921555819373,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PMAR_PMAR003946.2.2.m.31102,-0.00917452159119164,-0.0164616458699821,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PMAR_PMAR009545.1.1.m.28734,0.00364778592941831,-0.00872052841558097,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PMAR_PMAR019172.1.1.m.2563,-0.00804036121499393,0.00284875340307315,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PMS2.1.1.m.16450,0.0107008483770755,0.0122738816125822,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PMTR.1.1.m.46450,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PNCB.1.1.m.57201,-0.0170340215961149,-0.00937043154962844,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PNO1.1.3.m.2044,-0.00721874512061642,-0.0154376539866917,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PNO1.2.3.m.47801,0.00364778592941831,-0.00872052841558096,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PNP5B.1.1.m.21997,-0.00100171406134568,0.024171574579019,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PO2F1.1.1.m.11428,-0.00398044420171801,-0.0123577068968307,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_POGLUT1.1.1.m.45796,0.00138596131472592,0.019377808092393,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_POLD1.1.1.m.61169,-0.00408153661020084,0.0148340811815002,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_POLR3K.1.1.m.8423,-0.00363400051299976,-0.0173793401624533,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_POMGNT1.1.1.m.33377,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_POPTRDRAFT_1091519.1.1.m.56854,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_POPTRDRAFT_655879.1.1.m.46190,0.00609054210092374,-0.00189538509989723,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PP1A.1.1.m.25950,0.00678620130084428,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PP1B.2.3.m.22075,0.00510326398975404,-0.000605018502621646,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PP1RA.1.1.m.9915,-0.00705788289649035,0.00837710198748013,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PP4C.1.1.m.10112,-0.00815915512006298,-0.0232165553449897,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PP4R1.1.1.m.11682,0.005686649828488,-0.0216973537760646,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PP6R3.1.1.m.43072,-0.00993438405367826,-0.0206990940824908,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPA5.1.1.m.36087,-0.00817026414957847,0.00412392226992762,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPAC1.1.1.m.51347,-0.00169761107618542,0.000101466221985983,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPAL.2.2.m.32405,-0.0116540597636687,-0.011081063514671,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPAN.B.1.1.m.2112,-0.00364019405631301,-0.0138960987618807,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPBT.1.4.m.5115,-0.00328999837804817,-0.0219370659695754,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPIB.2.4.m.40019,-0.0225578608733299,0.00997658454587587,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPID.1.1.m.55261,-0.00324155148015846,-0.0129154828040863,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPIE.1.1.m.18580,-0.00318232626717503,-2.63932963499024e-05,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPIG.1.1.m.63308,0.00604033110025078,-0.0120676985698541,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPIH.1.1.m.18923,0.0120655168633011,-0.00179503910625116,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPIL2.1.1.m.55184,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPM1H.1.1.m.24782,-0.00769543874221906,0.0163321185194918,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPME1.1.1.m.56260,-0.0140823564019595,0.00800044180307228,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPN.2.4.m.44929,0.000750921191101472,-0.00790753537190509,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPN.3.4.m.50209,-0.00576498189928228,0.00414529318250928,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPOX.1.1.m.45234,-0.00933092699421737,-0.0174950925491729,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPP1CC.1.1.m.13937,-1.78630885477406e-05,-0.00824943797351215,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPP1R7.1.1.m.37778,0.0156906983891223,0.000760422632417486,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPP6.1.1.m.16278,0.00768318260602291,-0.0218844181925978,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPR27.1.1.m.10278,0.00979862051577241,0.00296402066931118,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPR37.1.1.m.27483,-0.00159968149838835,-0.00780576516343664,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPT2A.1.2.m.30339,0.00746287827562247,-0.0205366463708952,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPUTW619_2764.1.1.m.44946,0.0218739048381062,-0.0128357453283574,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PPWD1.1.1.m.48713,0.0074802942076619,-0.0106098826276695,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRB2.2.2.m.41331,0.00760637408837512,-0.00823629973637447,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRCC.2.2.m.58572,-0.00141803359610405,-0.00495516489937453,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRG4.1.2.m.7441,0.00491588973115351,-0.000600714720400963,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRIM.1.1.m.30784,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRKAB1B.1.3.m.19788,-0.0102604630214509,0.0126805786335863,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRKAB1B.2.3.m.31228,0.0206453635408977,-0.00460903406296448,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRKAB2.1.1.m.12513,0.0145134937894381,0.00155086987527764,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRKCSH.1.1.m.28109,0.0131950705287207,-0.00888967285769142,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRKDC.1.1.m.47256,-0.0188767202303237,-0.00419582976034035,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRKN2.1.1.m.54903,0.00205195042830452,-0.00934116934689426,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PROF.2.2.m.41295,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PROM1.3.3.m.58805,0.0166559574463178,0.0112840324681967,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRP16.1.1.m.19094,0.00447755479278047,-0.00407748198129023,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRP18.1.1.m.2214,-0.00955937343498079,0.0190079924475759,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRP31.3.6.m.8812,-0.00541850016977292,-0.0103264160704934,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRP4B.1.1.m.28423,-0.0134647759270132,-0.00753410150124427,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRP6.1.2.m.28600,-0.0101272662296582,-0.0180148032502371,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRP6.2.2.m.34365,-0.017770790241639,-0.0111940485443831,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRP8.1.1.m.51584,-0.0185816642265781,-0.0113113687581546,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRPF3.1.1.m.736,-0.00386228511507197,-0.00312553501860011,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRPF4.1.1.m.62194,-0.00409916705334313,-0.00633803611453745,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRPS1.1.1.m.10083,-0.00782516334646331,0.00670042863172252,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRRC1.1.1.m.6820,0.0109841424531757,0.00166022015654628,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRRT1.2.5.m.28553,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRS4.1.1.m.45626,0.00501602162118312,-0.00053301898055846,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRS6B.1.1.m.66735,-0.00976300551095756,0.00155905336826387,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRS7.1.1.m.31825,-0.00701114432307211,0.00577062253222371,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRS8.1.1.m.40757,0.00143447874344327,0.00898356125842242,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRTG.2.3.m.27411,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PRUN2.1.1.m.38759,-0.00340024039962489,0.00544813722853511,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSA.1.1.m.27259,0.0213350291137012,0.00251253474837875,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSA1.1.1.m.44276,0.00858961243085079,0.0149588617231123,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSA2.1.1.m.57091,0.0181789008261634,-0.000156536350398566,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSA4.1.1.m.19303,0.00967189856975522,0.0147298609186152,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSA6.1.1.m.30357,-0.00490891522977999,0.00463948717973484,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSB1.2.2.m.63827,0.00344108144856792,0.0145607733962155,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSD7.1.1.m.19729,0.0169547336738424,-0.00872361600059371,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSDE.1.1.m.38562,0.00239297660137074,0.0242479360607067,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSIP1.1.1.m.61157,-0.0118737674999837,-0.0167853374516885,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMB2.1.1.m.62965,0.0164453919128082,-0.00627847043836051,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMC6.1.1.m.13888,0.0185493410594113,-0.00431231983237925,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMD1.1.1.m.21682,0.00194171466684264,-0.0220145873197299,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMD1.1.1.m.21683,-0.0131276161896859,-0.0104092527095059,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMD2.1.3.m.13362,0.0100675569757388,0.00626349597807038,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMD2.3.3.m.59657,-0.00635887055339577,-0.0198628118818253,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMD2.3.3.m.59658,-0.00682700203568985,-0.00780812560535716,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMD6.1.1.m.60839,-0.00796983799258451,-0.0251356764918803,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMD9.1.1.m.5055,-0.000101595204019572,-0.00813621375716665,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSME4.1.1.m.18992,-0.00570413400736449,-0.0112250251499628,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSMG2.1.1.m.66279,-0.00355196118390023,-0.00382079809873124,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSTA_4372.1.1.m.39115,0.00548475539013268,-0.00539125850566387,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSTA.1.2.m.4739,0.0176765788050012,0.00520838373308479,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSTA.2.2.m.9655,-0.0186622985764134,-0.00564889340205543,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PSTPIP1.1.1.m.39114,-0.00340415362020821,0.0188703783233166,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTCD3.1.1.m.24655,-0.0105575319581909,-0.0111313988418005,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTEN.1.1.m.5408,-0.0115754291154701,-0.011840987677001,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTER.1.2.m.28985,0.0129944756792996,0.00728423555163507,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTGR1.1.1.m.29812,0.00416972111838368,0.0162907960290686,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTH1R.4.4.m.65130,0.00582321092785221,-0.00359067331532357,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTHB1.1.1.m.35678,-0.0117901342884793,-0.0127738448041673,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTN11.4.4.m.62827,0.00535008786030914,0.000576428036303342,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTN11.4.4.m.62828,-0.0203754587495212,0.00332337410420803,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTP10.3.3.m.46720,0.00364778592941831,-0.00872052841558096,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPA.1.1.m.18579,-0.00232190947567054,-0.0140430653848694,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPN23.1.1.m.16408,-0.00637960389861829,-0.00521238439721506,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRA.19.22.m.59233,-0.0135725579708753,0.00388604629968508,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRA.2.22.m.3118,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRA.9.22.m.46545,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRA.9.22.m.46547,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRB.1.4.m.21615,0.00369024987742866,0.00511544049850617,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRB.3.4.m.52977,0.00298032716367061,-0.00575549047215457,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRB.4.4.m.66782,0.00678620130084428,0.00878741825264137,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRC.5.14.m.34957,0.00615966897194063,0.00941964587728867,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRE.7.19.m.34309,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPREA.1.2.m.4823,0.0111648541665806,-0.00111489713051404,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRF.2.6.m.17540,-0.0169591047060434,0.00960206869202778,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRF.3.6.m.28841,0.00317159637384166,0.0103362003088132,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRG.1.3.m.56419,-0.00442088149670203,-0.0113872636258698,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRG.2.3.m.61939,0.00533847649157489,0.000274289534609946,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRG.3.3.m.65311,0.00217997094733793,-0.00807271368859912,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRK.10.20.m.31769,-0.00430894344577715,-0.00631540690244347,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRK.13.20.m.40023,0.00950697451467116,0.00713835275205081,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRK.17.20.m.60780,0.00432445657208098,-0.0124092128127174,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRK.18.20.m.62712,0.000285550530839903,-0.00052449443528414,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRK.4.20.m.2624,0.0102651939243081,0.0124906752250149,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRK.6.20.m.6291,0.0079635965448039,0.00872163648676982,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRK.8.20.m.8333,0.0063468973476034,-0.00672233520317961,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRM.11.15.m.52054,0.00657707890972156,0.000365944389990897,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRM.14.15.m.57240,0.0065883263884642,0.0180931628217626,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRQ.6.8.m.45809,0.00658898646990164,0.000408449931795634,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.11.45.m.39468,9.12291778089724e-05,0.00819724696865498,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.12.45.m.39573,-0.00753233199402199,0.012499918905142,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.17.45.m.42361,0.00864826160142024,0.0015189375952693,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.22.45.m.47112,0.0122092213947697,-0.0185949693893573,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.26.45.m.52045,-0.00790147939891358,-0.0034706483428139,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.30.45.m.53464,-0.000100518299627381,-0.00542729837950592,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.38.45.m.60044,0.00315630926841679,0.000757237513911048,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.40.45.m.61584,0.00394536801625317,0.00291369700370642,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRT.6.45.m.24275,-0.00753359334780338,0.0140395078974497,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRU.2.2.m.58388,0.00355088676594198,0.0075589263427687,No,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PTPRZ.1.9.m.12735,0.01235355891224,0.0229870738961299,No,NA,NA,NA,NA,NA,NA,NA,NA
