"Supplemental Table 4. ASCA time effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_MP2K6.1.1.m.38188,0.006810082,0.000344197,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPDZ.3.3.m.51236,-0.007108487,0.009921966,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPEG1.4.5.m.49975,0.003569291,0.004215241,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPET_1013.1.2.m.36696,-0.005625629,-0.00205002,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPHOSPH9.1.1.m.9795,-0.00956568,-0.003354502,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPI.1.1.m.35645,0.000910181,-8.11E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPP2.1.1.m.62101,-7.87E-05,-0.002891339,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPPA.2.2.m.18272,0.001477813,0.001994498,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPPA.2.2.m.18273,-0.01291215,-0.00821726,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MPST.1.1.m.11853,-0.011542555,0.004098762,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MROH1.1.1.m.24366,-0.00305932,-0.00110134,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRP1.10.10.m.64931,-0.014618594,-0.009303237,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRP1.4.10.m.27993,-0.003484784,0.010485983,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRP1.5.10.m.34368,-0.01088497,0.003694452,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRPL42.1.1.m.61762,0.016223543,0.014621622,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRPL45.1.1.m.11763,-0.008921837,-0.018674594,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRPL55.1.1.m.1120,-0.000110415,0.014649408,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRPS28.1.1.m.29259,-0.006746121,-0.01187187,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRPS35.1.1.m.20118,-0.005597268,-0.001281861,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRRF.1.1.m.16730,0.003150929,-0.020459298,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MRT4.1.1.m.1698,0.003692716,-0.00532806,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MSH2.1.1.m.18340,-0.007415775,0.002300746,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MSMB.4.5.m.40217,0.013745127,-0.0096955,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MSRB3.1.4.m.4844,-0.013701829,0.026635272,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MSRB3.2.4.m.17278,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MT.10.18.m.44063,-0.000301742,0.000514515,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTA1.1.1.m.12640,-0.004355443,0.000224495,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTAP.1.1.m.15433,-0.001074318,0.007267905,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTBP.1.1.m.17026,-0.002389031,0.003243293,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTHR.1.1.m.54596,-0.00179299,0.013719634,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTIF2.1.1.m.17935,-0.010269542,-0.001734991,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTMR9.1.1.m.26430,0.012360577,-0.028549716,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTNA.1.1.m.1717,-0.004990028,-0.003867869,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTNB.1.1.m.16051,0.025716154,-0.026119716,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTND.2.3.m.41824,-0.001353849,0.003647163,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTOR.2.2.m.51573,-0.009750473,0.001208125,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTPN.2.2.m.58730,-0.00161319,-0.002508367,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTR_027S0011.1.1.m.29241,-0.00214701,-0.003306506,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTR_7G016900.1.1.m.39323,0.00778653,-0.0083595,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTR1.1.1.m.59840,-0.022545186,0.012886846,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTSS1.1.1.1.m.41595,-0.00971085,-0.00260238,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MTX1.1.1.m.43691,3.42E-05,0.016919639,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUC1.1.5.m.5910,-0.023204684,0.010481961,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUC21.1.1.m.41811,-0.015587359,-0.003975197,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUC4.1.1.m.41314,0.00959391,0.01327033,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUC5A.1.2.m.43407,0.010498801,0.00123461,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUC5AC.1.2.m.17430,0.005413922,0.006393702,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUC5B.1.1.m.15734,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUG2.1.1.m.55656,-0.001709567,0.00759785,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MUTA.1.1.m.31799,-0.00132154,0.000675473,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MVD1.1.1.m.28700,-0.010723892,0.008902184,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MVP.1.1.m.56230,0.000391262,-0.000671976,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYBA.1.1.m.48052,0.003193705,0.011583924,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYBPP.1.1.m.45264,-5.78E-05,0.007666843,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYBV.1.1.m.62683,0.001955343,0.001272425,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYBX.3.4.m.53061,-4.11E-05,0.005446608,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYCB2.1.2.m.13017,0.003035914,-0.004118598,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYCBP2.1.1.m.27070,-0.000635472,-0.003020063,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYD88.2.7.m.21423,-0.012582378,-0.015576865,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYD88.4.7.m.31202,0.005967,0.007046873,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYD88.5.7.m.41603,0.003034909,-0.000820119,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYEF2.1.1.m.18999,-0.002738677,-0.002532626,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYG1.1.1.m.4971,0.000361856,-0.000298605,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO15.1.1.m.66281,-0.007843501,0.005252404,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO16.4.4.m.65831,-2.95E-05,-0.000852269,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO18.1.1.m.3952,0.002906612,-0.00768385,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO1B.1.1.m.53598,-0.012105829,0.000125348,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO1E.1.1.m.49109,-0.006916226,-0.000877822,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO22.2.2.m.24750,0.004398611,-0.00298022,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO3.2.2.m.59993,0.003107017,0.022122449,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO3AL.1.1.m.8123,-0.014576207,-0.004434431,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO5A.2.4.m.11575,0.005769162,0.003469582,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO6.1.1.m.4131,0.00048417,-0.000680976,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO7A.1.3.m.59205,0.000776704,-0.000599599,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYO7A.2.3.m.63360,0.016053115,-0.00245878,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYOF.3.3.m.53228,-0.0021857,0.004729002,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYPH.1.2.m.36560,0.001284494,0.000172264,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.1.7.m.433,-0.001344619,-0.000391735,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.1.7.m.435,-0.001911566,0.002303314,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.2.7.m.2064,0.00785092,-0.005193793,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.2.7.m.2069,0.005565974,-0.01240859,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.2.7.m.2070,-0.000801287,-0.000790023,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.2.7.m.2075,-0.002991252,0.001284725,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.4.7.m.18188,0.000970098,-0.000610434,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.7.7.m.44341,-0.001221608,-0.000725814,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS.7.7.m.44342,0.00050354,-0.002269114,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYS3.1.2.m.31829,-0.022603446,-0.014384777,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYSP.1.9.m.1097,0.010713391,-0.005689254,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYSP.1.9.m.1100,0.002864756,-0.004121893,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYSP.4.9.m.2302,-0.00422023,0.004069833,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYSP.5.9.m.28124,-0.016533056,-0.033420364,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYSP.8.9.m.44813,-0.009961655,-0.009742455,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_MYSTI_04398.1.1.m.27734,-0.018810522,-0.01197097,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_N2F1A.1.1.m.63063,0.02188645,-0.015812482,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAA15.1.1.m.34959,0.000507838,-0.00075775,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAA25.1.1.m.11255,0.000882708,-0.002434425,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAA35.1.1.m.60092,-0.006176896,-0.017161261,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NACA.2.9.m.11875,0.000298434,-0.001773867,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAEGRDRAFT_47557.1.1.m.11283,-0.021298322,0.009290077,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAEGRDRAFT_49892.1.1.m.10608,-7.11E-05,0.009433212,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAEGRDRAFT_71860.1.1.m.2556,-5.11E-05,0.006784267,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAF1.1.1.m.13716,0.00273539,-0.00073918,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAGLU.2.2.m.60267,-0.001501825,0.001825145,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAGT1.1.1.m.8857,0.01147775,-0.020837656,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAS13.1.1.m.30415,-0.015709295,-0.002686455,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NASP.2.4.m.13404,-0.002193466,-0.005027072,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NASP.4.4.m.56613,-0.020668428,0.027556376,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NAV2.1.3.m.9737,0.001219826,0.000845271,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NBEL1.1.1.m.33217,0.001124556,0.006400029,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NC2A.1.1.m.22786,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCAH.1.5.m.8672,-0.007402296,-0.001338216,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCAH.3.5.m.51972,0.021473806,0.029901053,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCBP2.1.1.m.60410,-0.01604198,0.002998627,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCDN.1.1.m.58381,-0.009962302,0.011728226,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCER_101848.1.1.m.63547,0.00145595,0.009949959,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCKP1.1.4.m.24694,0.001370446,0.003287049,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCLIV_053520.1.1.m.8896,-0.002369786,-0.002129417,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCOA4.1.1.m.5549,0.002988889,0.017074653,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NCU02236.1.1.m.28628,-0.017144767,0.025668252,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ND1.2.5.m.36938,0.002047203,-0.002811928,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ND1.4.5.m.42588,-0.000332635,-0.001964066,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_ND4.3.5.m.19536,0.000197674,0.000514074,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NDK7.1.1.m.64883,-0.004071361,-0.003775582,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NDL1A.1.1.m.10230,-0.002636837,-0.021085422,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NDUA5.1.2.m.2750,-0.010313911,-0.016639491,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NDUFA7.2.2.m.57153,0.001701245,-0.001449856,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NDUFB7.1.1.m.27222,-0.018130268,0.008879465,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NDUFB9.1.2.m.37494,-0.008447638,0.011345646,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NDUFS4.1.1.m.66417,-0.000628326,0.001728055,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEC1.1.1.m.63094,-0.009302296,-0.01690693,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NECA3.1.1.m.106,-0.003401579,0.006016438,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NECX.1.1.m.56979,-0.001409354,-0.000272432,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NED4L.1.1.m.7792,-0.004748692,0.005492417,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEDD1.1.1.m.10741,0.000690232,0.018269113,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEFH.1.2.m.59956,0.003345939,0.011751499,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEK1.1.5.m.9137,-0.007610194,-0.012569345,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEK1.4.5.m.32116,-0.001283563,-0.013826919,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEK9.1.1.m.19497,-0.004443527,0.006078355,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NELFB.1.2.m.9922,-0.003271206,-0.013089965,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMF.1.1.m.57807,0.004300538,-0.003067725,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G100691.1.2.m.26774,-0.004756082,0.002206085,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G100691.2.2.m.65547,-0.000169475,0.002106148,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G106520.1.1.m.14881,-0.011662855,0.004903293,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G114289.1.1.m.17188,0.024862051,-0.001661618,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G120119.1.2.m.6082,0.002131073,0.001737105,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G120526.4.5.m.36926,-0.020159645,0.004700196,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G122785.1.1.m.57840,-0.006225238,0.009435235,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G122840.1.2.m.28819,0.005051587,-0.023177216,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G135670.1.1.m.18689,-0.002253287,-0.004700946,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G140878.1.1.m.18069,-0.003265402,0.002147022,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G141380.2.4.m.8974,0.00266635,-0.000720524,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G154303.1.1.m.3521,-0.005520904,0.005490459,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,0.014954366,-0.001373504,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G157638.1.1.m.31214,-0.006783411,0.006155529,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G157950.1.1.m.4584,0.002143184,-1.34E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G159364.1.1.m.22912,-0.006052609,-0.012424683,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G160170.1.1.m.66042,-0.014502568,-0.009229398,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G162365.1.1.m.8038,0.00105876,0.002295248,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G163820.1.1.m.6391,0.001252682,-0.028391407,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G164392.1.3.m.46942,0.003227229,0.000622558,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G164392.3.3.m.59979,0.00791625,-0.014371814,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G166546.1.1.m.10454,-0.025538323,-0.008110032,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G167304.1.1.m.10864,0.001687228,-3.70E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G167758.1.1.m.66572,-0.006811283,-0.005709184,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G167835.1.1.m.6190,-0.003809134,-0.003453117,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G167853.1.2.m.20047,-0.009369704,-0.003238807,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G168076.2.2.m.56942,-0.002541044,-6.72E-05,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G168163.1.1.m.63148,0.001719019,-0.001918206,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G168923.1.1.m.29344,-0.005539401,-0.00066309,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G169195.1.1.m.2476,0.000655336,0.00156142,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G169538.1.2.m.18155,-0.003491426,0.004739879,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G169538.2.2.m.29703,0.001724378,-0.004591973,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G171044.1.1.m.44527,0.013094856,-0.006499788,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G173323.2.2.m.55211,0.000190588,-0.000309143,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G173435.1.1.m.37344,0.00200841,0.011262279,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G173950.1.1.m.13511,0.00222111,-0.007630279,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G173950.1.1.m.13512,-0.000366069,0.000751911,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G179696.1.1.m.40556,0.031620046,0.002976224,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G179716.1.1.m.55972,-0.000540227,-0.00021855,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G180651.1.2.m.2808,-0.001674896,-0.002877023,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G181421.1.1.m.3106,-3.28E-05,-0.001753043,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G182319.1.1.m.5048,-0.001699101,0.003010253,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G183894.1.1.m.55454,-0.003719772,0.000469164,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G185623.1.1.m.62696,-0.000139999,0.003722711,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G188927.1.1.m.17076,-0.002614198,-0.005026334,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G188942.1.1.m.6629,0.001798896,0.000413341,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G191841.1.1.m.1745,-0.000992404,-0.000319508,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G192713.1.1.m.16224,-0.000976414,0.005358729,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G193373.1.2.m.19292,0.005227822,-0.00949102,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G194582.1.2.m.11442,-0.0033817,-0.002340204,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G194582.2.2.m.40726,-0.009720175,-0.009177197,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G197278.1.1.m.45568,0.005118696,0.004191754,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G197314.1.2.m.61420,0.006354044,-0.000882709,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G198667.1.15.m.3453,0.002404456,-0.004365248,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G198667.12.15.m.51327,0.007173325,-0.013023047,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G198667.14.15.m.61843,0.008855505,0.009757717,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G198846.1.1.m.25649,-0.007174556,0.00673176,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G198897.2.6.m.4748,0.004305289,-0.003969235,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G198897.4.6.m.52548,0.006166928,0.007282983,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_NEMVEDRAFT_V1G199721.1.1.m.64387,-0.011136981,0.033022888,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
